Date,axiuTep,iniuTep,AverageTep,Departure,HDD,CDD,Precipitation,NewSnow,DepartureTep,SnowDepth,Electricity(GWh)/Non-Residential,Electricity(GWh)/Residential,Gas(Thers)/Non-Residential,Gas(Thers)/Residential,edian_Incoe(dollars),Population,Wind,Solar,Sall hydro,Geotheral,Bioass,Large hydro,Coal,Nuclear,Natural gas,Unspecified
41715,69,48,58.5,,6,0,0,,1.7,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41716,72,48,60,,5,0,0,,3.1,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41717,78,45,61.5,,3,0,0,,4.6,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41718,79,51,65,,0,0,0,,8,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41719,78,49,63.5,,1,0,0,,6.4,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41720,78,47,62.5,,2,0,0,,5.3,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41721,78,48,63,,2,0,0,,5.7,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41722,82,48,65,,0,0,0,,7.6,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41723,65,47,56,,9,0,0,,-1.5,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41724,64,50,57,,8,0,0.25,,-0.6,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41725,64,51,57.5,,7,0,0,,-0.2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41726,70,52,61,,4,0,0,,3.2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41727,58,51,54.5,,10,0,0.7,,-3.4,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41728,65,44,54.5,,10,0,0.01,,-3.5,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41729,59,44,51.5,,13,0,0.17,,-6.6,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41730,54,44,49,,16,0,1.3,,-9.2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41731,63,44,53.5,,11,0,0,,-4.9,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41732,67,44,55.5,,9,0,0,,-3,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
