Datetime,CH4_ppm
2/21/17 23:45,2.48854
2/21/17 23:46,2.45365
2/21/17 23:47,2.4243
2/21/17 23:48,2.40806
2/21/17 23:49,2.42176
2/21/17 23:50,2.43434
2/21/17 23:51,2.41577
2/21/17 23:52,2.39572
2/21/17 23:53,2.39121
2/21/17 23:54,2.40761
2/21/17 23:55,2.42998
2/21/17 23:56,2.54234
2/21/17 23:57,2.44435
2/21/17 23:58,2.39876
2/21/17 23:59,2.41013
2/22/17 0:00,2.41479
2/22/17 0:01,2.42417
2/22/17 0:02,2.44289
2/22/17 0:03,2.41766
2/22/17 0:04,2.40327
2/22/17 0:05,2.39385
2/22/17 0:06,2.37102
2/22/17 0:07,2.38085
2/22/17 0:08,2.41254
2/22/17 0:09,2.38072
2/22/17 0:10,2.38647
2/22/17 0:11,2.36609
2/22/17 0:12,2.38719
2/22/17 0:13,2.39483
2/22/17 0:14,2.4086
2/22/17 0:15,2.39176
2/22/17 0:16,2.35546
2/22/17 0:17,2.35375
2/22/17 0:18,2.37107
2/22/17 0:19,2.41969
2/22/17 0:20,2.46268
2/22/17 0:21,2.39384
2/22/17 0:22,2.39378
2/22/17 0:23,2.39112
2/22/17 0:24,2.3782
2/22/17 0:25,2.35547
2/22/17 0:26,2.36061
2/22/17 0:27,2.37136
2/22/17 0:28,2.35894
2/22/17 0:29,2.34095
2/22/17 0:30,2.3461
2/22/17 0:31,2.36816
2/22/17 0:32,2.38426
2/22/17 0:33,2.35719
2/22/17 0:34,2.35819
2/22/17 0:35,2.38741
2/22/17 0:36,2.38583
2/22/17 0:37,2.36133
2/22/17 0:38,2.35687
2/22/17 0:39,2.36241
2/22/17 0:40,2.3483
2/22/17 0:41,2.34504
2/22/17 0:42,2.36641
2/22/17 0:43,2.36933
2/22/17 0:44,2.38036
2/22/17 0:45,2.39474
2/22/17 0:46,2.39505
2/22/17 0:47,2.40156
2/22/17 0:48,2.44794
2/22/17 0:49,2.41733
2/22/17 0:50,2.39834
2/22/17 0:51,2.35129
2/22/17 0:52,2.31883
2/22/17 0:53,2.33151
2/22/17 0:54,2.32471
2/22/17 0:55,2.32692
2/22/17 0:56,2.35739
2/22/17 0:57,2.368
2/22/17 0:58,2.38405
2/22/17 0:59,2.42671
2/22/17 1:00,2.46029
2/22/17 1:01,2.48028
2/22/17 1:02,2.49388
2/22/17 1:03,2.47894
2/22/17 1:04,2.47962
2/22/17 1:05,2.4845
2/22/17 1:06,2.47617
2/22/17 1:07,2.48894
2/22/17 1:08,2.50941
2/22/17 1:09,2.50513
2/22/17 1:10,2.51325
2/22/17 1:11,2.48806
2/22/17 1:12,2.48857
2/22/17 1:13,2.55701
2/22/17 1:14,2.56546
2/22/17 1:15,2.55208
2/22/17 1:16,2.53646
2/22/17 1:17,2.51264
2/22/17 1:18,2.46829
2/22/17 1:19,2.47706
2/22/17 1:20,2.47154
2/22/17 1:21,2.48056
2/22/17 1:22,2.47635
